Metagene	Cell type	Immunity	
ADAM28	Activated B cell	Adaptive	Charoentong
CD180	Activated B cell	Adaptive	Charoentong
CD79B	Activated B cell	Adaptive	Charoentong
BLK	Activated B cell	Adaptive	Charoentong
CD19	Activated B cell	Adaptive	Charoentong
MS4A1	Activated B cell	Adaptive	Charoentong
TNFRSF17	Activated B cell	Adaptive	Charoentong
IGHM	Activated B cell	Adaptive	Charoentong
GNG7	Activated B cell	Adaptive	Charoentong
MICAL3	Activated B cell	Adaptive	Charoentong
SPIB	Activated B cell	Adaptive	Charoentong
HLA-DOB	Activated B cell	Adaptive	Charoentong
IGKC	Activated B cell	Adaptive	Charoentong
PNOC	Activated B cell	Adaptive	Charoentong
FCRL2	Activated B cell	Adaptive	Charoentong
BACH2	Activated B cell	Adaptive	Charoentong
CR2	Activated B cell	Adaptive	Charoentong
TCL1A	Activated B cell	Adaptive	Charoentong
AKNA	Activated B cell	Adaptive	Charoentong
ARHGAP25	Activated B cell	Adaptive	Charoentong
CCL21	Activated B cell	Adaptive	Charoentong
CD27	Activated B cell	Adaptive	Charoentong
CD38	Activated B cell	Adaptive	Charoentong
CLEC17A	Activated B cell	Adaptive	Charoentong
CLEC9A	Activated B cell	Adaptive	Charoentong
CLECL1	Activated B cell	Adaptive	Charoentong
AIM2	Activated CD4 T cell	Adaptive	Charoentong
BIRC3	Activated CD4 T cell	Adaptive	Charoentong
BRIP1	Activated CD4 T cell	Adaptive	Charoentong
CCL20	Activated CD4 T cell	Adaptive	Charoentong
CCL4	Activated CD4 T cell	Adaptive	Charoentong
CCL5	Activated CD4 T cell	Adaptive	Charoentong
CCNB1	Activated CD4 T cell	Adaptive	Charoentong
CCR7	Activated CD4 T cell	Adaptive	Charoentong
DUSP2	Activated CD4 T cell	Adaptive	Charoentong
ESCO2	Activated CD4 T cell	Adaptive	Charoentong
ETS1	Activated CD4 T cell	Adaptive	Charoentong
EXO1	Activated CD4 T cell	Adaptive	Charoentong
EXOC6	Activated CD4 T cell	Adaptive	Charoentong
IARS	Activated CD4 T cell	Adaptive	Charoentong
ITK	Activated CD4 T cell	Adaptive	Charoentong
KIF11	Activated CD4 T cell	Adaptive	Charoentong
KNTC1	Activated CD4 T cell	Adaptive	Charoentong
NUF2	Activated CD4 T cell	Adaptive	Charoentong
PRC1	Activated CD4 T cell	Adaptive	Charoentong
PSAT1	Activated CD4 T cell	Adaptive	Charoentong
RGS1	Activated CD4 T cell	Adaptive	Charoentong
RTKN2	Activated CD4 T cell	Adaptive	Charoentong
SAMSN1	Activated CD4 T cell	Adaptive	Charoentong
SELL	Activated CD4 T cell	Adaptive	Charoentong
TRAT1	Activated CD4 T cell	Adaptive	Charoentong
ADRM1	Activated CD8 T cell	Adaptive	Charoentong
AHSA1	Activated CD8 T cell	Adaptive	Charoentong
C1GALT1C1	Activated CD8 T cell	Adaptive	Charoentong
CCT6B	Activated CD8 T cell	Adaptive	Charoentong
CD37	Activated CD8 T cell	Adaptive	Charoentong
CD3D	Activated CD8 T cell	Adaptive	Charoentong
CD3E	Activated CD8 T cell	Adaptive	Charoentong
CD3G	Activated CD8 T cell	Adaptive	Charoentong
CD69	Activated CD8 T cell	Adaptive	Charoentong
CD8A	Activated CD8 T cell	Adaptive	Charoentong
CETN3	Activated CD8 T cell	Adaptive	Charoentong
CSE1L	Activated CD8 T cell	Adaptive	Charoentong
GEMIN6	Activated CD8 T cell	Adaptive	Charoentong
GNLY	Activated CD8 T cell	Adaptive	Charoentong
GPT2	Activated CD8 T cell	Adaptive	Charoentong
GZMA	Activated CD8 T cell	Adaptive	Charoentong
GZMH	Activated CD8 T cell	Adaptive	Charoentong
GZMK	Activated CD8 T cell	Adaptive	Charoentong
IL2RB	Activated CD8 T cell	Adaptive	Charoentong
LCK	Activated CD8 T cell	Adaptive	Charoentong
MPZL1	Activated CD8 T cell	Adaptive	Charoentong
NKG7	Activated CD8 T cell	Adaptive	Charoentong
PIK3IP1	Activated CD8 T cell	Adaptive	Charoentong
PTRH2	Activated CD8 T cell	Adaptive	Charoentong
TIMM13	Activated CD8 T cell	Adaptive	Charoentong
ZAP70	Activated CD8 T cell	Adaptive	Charoentong
ABCD1	Activated dendritic cell	Innate	Charoentong
C1QC	Activated dendritic cell	Innate	Charoentong
CAPG	Activated dendritic cell	Innate	Charoentong
CCL3L3	Activated dendritic cell	Innate	Charoentong
CD207	Activated dendritic cell	Innate	Charoentong
CD302	Activated dendritic cell	Innate	Charoentong
ATP5B	Activated dendritic cell	Innate	Charoentong
ATP5L	Activated dendritic cell	Innate	Charoentong
ATP6V1A	Activated dendritic cell	Innate	Charoentong
BCL2L1	Activated dendritic cell	Innate	Charoentong
C1QB	Activated dendritic cell	Innate	Charoentong
SNURF	Activated dendritic cell	Innate	Charoentong
SPCS3	Activated dendritic cell	Innate	Charoentong
CCNA1	Activated dendritic cell	Innate	Charoentong
CEACAM8	Activated dendritic cell	Innate	Charoentong
NOS2	Activated dendritic cell	Innate	Charoentong
SRA1	Activated dendritic cell	Innate	Charoentong
TNFRSF6B	Activated dendritic cell	Innate	Charoentong
TREM1	Activated dendritic cell	Innate	Charoentong
TREML1	Activated dendritic cell	Innate	Charoentong
RHOA	Activated dendritic cell	Innate	Charoentong
SLC25A37	Activated dendritic cell	Innate	Charoentong
TNFSF14	Activated dendritic cell	Innate	Charoentong
TREML4	Activated dendritic cell	Innate	Charoentong
VNN2	Activated dendritic cell	Innate	Charoentong
XPO6	Activated dendritic cell	Innate	Charoentong
CLEC4C	Activated dendritic cell	Innate	Charoentong
TNFAIP2	Activated dendritic cell	Innate	Charoentong
UBD	Activated dendritic cell	Innate	Charoentong
ACTR3	Activated dendritic cell	Innate	Charoentong
RAB1A	Activated dendritic cell	Innate	Charoentong
SLA	Activated dendritic cell	Innate	Charoentong
HLA-DQA2	Activated dendritic cell	Innate	Charoentong
SIGLEC5	Activated dendritic cell	Innate	Charoentong
SLAMF9	Activated dendritic cell	Innate	Charoentong
ADAM28	B_cells_memory		LM22
AIM2	B_cells_memory		LM22
ALOX5	B_cells_memory		LM22
BACH2	B_cells_memory		LM22
BANK1	B_cells_memory		LM22
BLK	B_cells_memory		LM22
CCR6	B_cells_memory		LM22
CD180	B_cells_memory		LM22
CD19	B_cells_memory		LM22
CD1C	B_cells_memory		LM22
CD22	B_cells_memory		LM22
CD27	B_cells_memory		LM22
CD37	B_cells_memory		LM22
CD69	B_cells_memory		LM22
CD72	B_cells_memory		LM22
CD79A	B_cells_memory		LM22
CD79B	B_cells_memory		LM22
CLCA3P	B_cells_memory		LM22
CR2	B_cells_memory		LM22
CXCR5	B_cells_memory		LM22
DENND5B	B_cells_memory		LM22
FAIM3	B_cells_memory		LM22
FAM65B	B_cells_memory		LM22
FCGR2B	B_cells_memory		LM22
FCRL2	B_cells_memory		LM22
FRK	B_cells_memory		LM22
GNG7	B_cells_memory		LM22
GPR18	B_cells_memory		LM22
GUSBP11	B_cells_memory		LM22
HHEX	B_cells_memory		LM22
HLA-DOB	B_cells_memory		LM22
IFNA10	B_cells_memory		LM22
IGHD	B_cells_memory		LM22
IGHM	B_cells_memory		LM22
IGKC	B_cells_memory		LM22
IGLL3P	B_cells_memory		LM22
IL7	B_cells_memory		LM22
IRF8	B_cells_memory		LM22
KIAA0226L	B_cells_memory		LM22
LTB	B_cells_memory		LM22
LY86	B_cells_memory		LM22
MBL2	B_cells_memory		LM22
MS4A1	B_cells_memory		LM22
NMBR	B_cells_memory		LM22
NPIPB15	B_cells_memory		LM22
P2RX5	B_cells_memory		LM22
PNOC	B_cells_memory		LM22
PTPRCAP	B_cells_memory		LM22
RALGPS2	B_cells_memory		LM22
RASGRP2	B_cells_memory		LM22
SIK1	B_cells_memory		LM22
SIT1	B_cells_memory		LM22
SLC12A1	B_cells_memory		LM22
SP140	B_cells_memory		LM22
SPIB	B_cells_memory		LM22
STAP1	B_cells_memory		LM22
TMEM156	B_cells_memory		LM22
TNFRSF13B	B_cells_memory		LM22
TNFRSF17	B_cells_memory		LM22
TRAF4	B_cells_memory		LM22
VPREB3	B_cells_memory		LM22
ZBTB32	B_cells_memory		LM22
ABCB4	B_cells_naive		LM22
ADAM28	B_cells_naive		LM22
BACH2	B_cells_naive		LM22
BANK1	B_cells_naive		LM22
BCL7A	B_cells_naive		LM22
BEND5	B_cells_naive		LM22
BLK	B_cells_naive		LM22
BRAF	B_cells_naive		LM22
CD180	B_cells_naive		LM22
CD19	B_cells_naive		LM22
CD1C	B_cells_naive		LM22
CD22	B_cells_naive		LM22
CD37	B_cells_naive		LM22
CD69	B_cells_naive		LM22
CD72	B_cells_naive		LM22
CD79A	B_cells_naive		LM22
CD79B	B_cells_naive		LM22
CR2	B_cells_naive		LM22
CXCR5	B_cells_naive		LM22
EAF2	B_cells_naive		LM22
FAIM3	B_cells_naive		LM22
FCER2	B_cells_naive		LM22
FCGR2B	B_cells_naive		LM22
FCRL2	B_cells_naive		LM22
FRK	B_cells_naive		LM22
GPR18	B_cells_naive		LM22
GUSBP11	B_cells_naive		LM22
HHEX	B_cells_naive		LM22
HLA-DOB	B_cells_naive		LM22
IGHD	B_cells_naive		LM22
IGHM	B_cells_naive		LM22
IGKC	B_cells_naive		LM22
IGLL3P	B_cells_naive		LM22
IL4R	B_cells_naive		LM22
IRF8	B_cells_naive		LM22
KIAA0226L	B_cells_naive		LM22
LINC00921	B_cells_naive		LM22
LTB	B_cells_naive		LM22
LY86	B_cells_naive		LM22
MEP1A	B_cells_naive		LM22
MICAL3	B_cells_naive		LM22
MS4A1	B_cells_naive		LM22
NIPSNAP3B	B_cells_naive		LM22
NMBR	B_cells_naive		LM22
P2RX5	B_cells_naive		LM22
P2RY14	B_cells_naive		LM22
PNOC	B_cells_naive		LM22
PSG2	B_cells_naive		LM22
PTPRCAP	B_cells_naive		LM22
RALGPS2	B_cells_naive		LM22
RASGRP2	B_cells_naive		LM22
SELL	B_cells_naive		LM22
SIK1	B_cells_naive		LM22
SLC12A1	B_cells_naive		LM22
SPIB	B_cells_naive		LM22
STAP1	B_cells_naive		LM22
TCL1A	B_cells_naive		LM22
UGT1A8	B_cells_naive		LM22
VPREB3	B_cells_naive		LM22
ZNF286A	B_cells_naive		LM22
ABAT	CD56bright natural killer cell	Innate	Charoentong
C11orf75	CD56bright natural killer cell	Innate	Charoentong
C5orf15	CD56bright natural killer cell	Innate	Charoentong
CDHR1	CD56bright natural killer cell	Innate	Charoentong
DCAF12	CD56bright natural killer cell	Innate	Charoentong
DYNLL1	CD56bright natural killer cell	Innate	Charoentong
GPR137B	CD56bright natural killer cell	Innate	Charoentong
HCP5	CD56bright natural killer cell	Innate	Charoentong
HDGFRP2	CD56bright natural killer cell	Innate	Charoentong
KRT86	CD56bright natural killer cell	Innate	Charoentong
MLST8	CD56bright natural killer cell	Innate	Charoentong
ELMOD3	CD56bright natural killer cell	Innate	Charoentong
ENTPD5	CD56bright natural killer cell	Innate	Charoentong
FAM119A	CD56bright natural killer cell	Innate	Charoentong
FAM179A	CD56bright natural killer cell	Innate	Charoentong
CLIC2	CD56bright natural killer cell	Innate	Charoentong
COX7A2L	CD56bright natural killer cell	Innate	Charoentong
CREB3L4	CD56bright natural killer cell	Innate	Charoentong
CSF1	CD56bright natural killer cell	Innate	Charoentong
CSNK2A2	CD56bright natural killer cell	Innate	Charoentong
CSTA	CD56bright natural killer cell	Innate	Charoentong
CSTB	CD56bright natural killer cell	Innate	Charoentong
CTPS	CD56bright natural killer cell	Innate	Charoentong
CTSD	CD56bright natural killer cell	Innate	Charoentong
FST	CD56bright natural killer cell	Innate	Charoentong
GATA2	CD56bright natural killer cell	Innate	Charoentong
GMPR	CD56bright natural killer cell	Innate	Charoentong
HDC	CD56bright natural killer cell	Innate	Charoentong
HEY1	CD56bright natural killer cell	Innate	Charoentong
HOXA1	CD56bright natural killer cell	Innate	Charoentong
HS2ST1	CD56bright natural killer cell	Innate	Charoentong
HS3ST1	CD56bright natural killer cell	Innate	Charoentong
BCL11B	CD56bright natural killer cell	Innate	Charoentong
CDH3	CD56bright natural killer cell	Innate	Charoentong
MYL6B	CD56bright natural killer cell	Innate	Charoentong
NAA16	CD56bright natural killer cell	Innate	Charoentong
ClQA	CD56bright natural killer cell	Innate	Charoentong
ClQB	CD56bright natural killer cell	Innate	Charoentong
CYP27B1	CD56bright natural killer cell	Innate	Charoentong
EIF3M	CD56bright natural killer cell	Innate	Charoentong
CYP27A1	CD56dim natural killer cell	Innate	Charoentong
DDX55	CD56dim natural killer cell	Innate	Charoentong
DYRK2	CD56dim natural killer cell	Innate	Charoentong
RPL37A	CD56dim natural killer cell	Innate	Charoentong
NOTCH3	CD56dim natural killer cell	Innate	Charoentong
AKR7A3	CD56dim natural killer cell	Innate	Charoentong
GPRC5C	CD56dim natural killer cell	Innate	Charoentong
GRIN1	CD56dim natural killer cell	Innate	Charoentong
HLA-E	CD56dim natural killer cell	Innate	Charoentong
PORCN	CD56dim natural killer cell	Innate	Charoentong
PSMC4	CD56dim natural killer cell	Innate	Charoentong
UPP1	CD56dim natural killer cell	Innate	Charoentong
IL21R	CD56dim natural killer cell	Innate	Charoentong
KIR2DS1	CD56dim natural killer cell	Innate	Charoentong
KIR2DS2	CD56dim natural killer cell	Innate	Charoentong
KIR2DS5	CD56dim natural killer cell	Innate	Charoentong
ABHD3	Central memory CD4 T cell	Adaptive	Charoentong
AHNAK	Central memory CD4 T cell	Adaptive	Charoentong
ANXA2P2	Central memory CD4 T cell	Adaptive	Charoentong
AQP3	Central memory CD4 T cell	Adaptive	Charoentong
ATHL1	Central memory CD4 T cell	Adaptive	Charoentong
BMI1	Central memory CD4 T cell	Adaptive	Charoentong
BZW2	Central memory CD4 T cell	Adaptive	Charoentong
CD63	Central memory CD4 T cell	Adaptive	Charoentong
COL4A1	Central memory CD4 T cell	Adaptive	Charoentong
CYLD	Central memory CD4 T cell	Adaptive	Charoentong
ELMO2	Central memory CD4 T cell	Adaptive	Charoentong
FYN	Central memory CD4 T cell	Adaptive	Charoentong
GLIPR1	Central memory CD4 T cell	Adaptive	Charoentong
GSS	Central memory CD4 T cell	Adaptive	Charoentong
IFITM2	Central memory CD4 T cell	Adaptive	Charoentong
ITGB1	Central memory CD4 T cell	Adaptive	Charoentong
ITGB2	Central memory CD4 T cell	Adaptive	Charoentong
KLF5	Central memory CD4 T cell	Adaptive	Charoentong
LSP1	Central memory CD4 T cell	Adaptive	Charoentong
NDUFB9	Central memory CD4 T cell	Adaptive	Charoentong
PKM2	Central memory CD4 T cell	Adaptive	Charoentong
SFXN3	Central memory CD4 T cell	Adaptive	Charoentong
SIRPG	Central memory CD4 T cell	Adaptive	Charoentong
SMAD4	Central memory CD4 T cell	Adaptive	Charoentong
STX4	Central memory CD4 T cell	Adaptive	Charoentong
TRADD	Central memory CD4 T cell	Adaptive	Charoentong
VIM	Central memory CD4 T cell	Adaptive	Charoentong
XRCC6	Central memory CD4 T cell	Adaptive	Charoentong
ACTN4	Central memory CD8 T cell	Adaptive	Charoentong
ADAM12	Central memory CD8 T cell	Adaptive	Charoentong
ADCY9	Central memory CD8 T cell	Adaptive	Charoentong
F13A1	Central memory CD8 T cell	Adaptive	Charoentong
FCER1G	Central memory CD8 T cell	Adaptive	Charoentong
FCGR3B	Central memory CD8 T cell	Adaptive	Charoentong
FGF7	Central memory CD8 T cell	Adaptive	Charoentong
FKBP4	Central memory CD8 T cell	Adaptive	Charoentong
GLUD1	Central memory CD8 T cell	Adaptive	Charoentong
GM2A	Central memory CD8 T cell	Adaptive	Charoentong
GUSB	Central memory CD8 T cell	Adaptive	Charoentong
IL1RN	Central memory CD8 T cell	Adaptive	Charoentong
NOL11	Central memory CD8 T cell	Adaptive	Charoentong
NTRK1	Central memory CD8 T cell	Adaptive	Charoentong
RARA	Central memory CD8 T cell	Adaptive	Charoentong
RNF128	Central memory CD8 T cell	Adaptive	Charoentong
SIGLEC1	Central memory CD8 T cell	Adaptive	Charoentong
TNFRSF11A	Central memory CD8 T cell	Adaptive	Charoentong
TOX4	Central memory CD8 T cell	Adaptive	Charoentong
UBA52	Central memory CD8 T cell	Adaptive	Charoentong
ULBP1	Central memory CD8 T cell	Adaptive	Charoentong
ARHGAP22	Dendritic_cells_activated		LM22
BIRC3	Dendritic_cells_activated		LM22
CCL1	Dendritic_cells_activated		LM22
CCL13	Dendritic_cells_activated		LM22
CCL17	Dendritic_cells_activated		LM22
CCL18	Dendritic_cells_activated		LM22
CCL19	Dendritic_cells_activated		LM22
CCL20	Dendritic_cells_activated		LM22
CCL22	Dendritic_cells_activated		LM22
CCL5	Dendritic_cells_activated		LM22
CCL8	Dendritic_cells_activated		LM22
CCR7	Dendritic_cells_activated		LM22
CD1B	Dendritic_cells_activated		LM22
CD1E	Dendritic_cells_activated		LM22
CD80	Dendritic_cells_activated		LM22
CD86	Dendritic_cells_activated		LM22
CHST7	Dendritic_cells_activated		LM22
CLIC2	Dendritic_cells_activated		LM22
CXCL10	Dendritic_cells_activated		LM22
CXCL11	Dendritic_cells_activated		LM22
CYP27A1	Dendritic_cells_activated		LM22
DHX58	Dendritic_cells_activated		LM22
EBI3	Dendritic_cells_activated		LM22
ETV3	Dendritic_cells_activated		LM22
FPR3	Dendritic_cells_activated		LM22
HESX1	Dendritic_cells_activated		LM22
HTR2B	Dendritic_cells_activated		LM22
IDO1	Dendritic_cells_activated		LM22
IFI44L	Dendritic_cells_activated		LM22
IL12B	Dendritic_cells_activated		LM22
IL2RA	Dendritic_cells_activated		LM22
KYNU	Dendritic_cells_activated		LM22
LAMP3	Dendritic_cells_activated		LM22
MAP3K13	Dendritic_cells_activated		LM22
MMP12	Dendritic_cells_activated		LM22
MSC	Dendritic_cells_activated		LM22
NR4A3	Dendritic_cells_activated		LM22
PDCD1LG2	Dendritic_cells_activated		LM22
PLA1A	Dendritic_cells_activated		LM22
PLA2G7	Dendritic_cells_activated		LM22
PTGIR	Dendritic_cells_activated		LM22
RASSF4	Dendritic_cells_activated		LM22
RSAD2	Dendritic_cells_activated		LM22
SIGLEC1	Dendritic_cells_activated		LM22
SLC15A3	Dendritic_cells_activated		LM22
SLC2A6	Dendritic_cells_activated		LM22
SLCO5A1	Dendritic_cells_activated		LM22
ST3GAL6	Dendritic_cells_activated		LM22
TMEM255A	Dendritic_cells_activated		LM22
TNFAIP6	Dendritic_cells_activated		LM22
TNFRSF11A	Dendritic_cells_activated		LM22
TNFRSF4	Dendritic_cells_activated		LM22
TREM2	Dendritic_cells_activated		LM22
ACP5	Dendritic_cells_resting		LM22
AIF1	Dendritic_cells_resting		LM22
ALOX15	Dendritic_cells_resting		LM22
C1orf54	Dendritic_cells_resting		LM22
CCDC102B	Dendritic_cells_resting		LM22
CCL13	Dendritic_cells_resting		LM22
CCL17	Dendritic_cells_resting		LM22
CCL18	Dendritic_cells_resting		LM22
CCL22	Dendritic_cells_resting		LM22
CD1A	Dendritic_cells_resting		LM22
CD1B	Dendritic_cells_resting		LM22
CD1C	Dendritic_cells_resting		LM22
CD1E	Dendritic_cells_resting		LM22
CD209	Dendritic_cells_resting		LM22
CD33	Dendritic_cells_resting		LM22
CD68	Dendritic_cells_resting		LM22
CLEC10A	Dendritic_cells_resting		LM22
CLEC4A	Dendritic_cells_resting		LM22
CLEC7A	Dendritic_cells_resting		LM22
CLIC2	Dendritic_cells_resting		LM22
DHRS11	Dendritic_cells_resting		LM22
EGR2	Dendritic_cells_resting		LM22
FAM198B	Dendritic_cells_resting		LM22
FCER1A	Dendritic_cells_resting		LM22
FCER2	Dendritic_cells_resting		LM22
FLVCR2	Dendritic_cells_resting		LM22
FPR3	Dendritic_cells_resting		LM22
FZD2	Dendritic_cells_resting		LM22
HLA-DQA1	Dendritic_cells_resting		LM22
IGSF6	Dendritic_cells_resting		LM22
MMP12	Dendritic_cells_resting		LM22
NCF2	Dendritic_cells_resting		LM22
PLA2G7	Dendritic_cells_resting		LM22
PPFIBP1	Dendritic_cells_resting		LM22
RNASE6	Dendritic_cells_resting		LM22
SCN9A	Dendritic_cells_resting		LM22
SLAMF8	Dendritic_cells_resting		LM22
SLC15A3	Dendritic_cells_resting		LM22
TMEM255A	Dendritic_cells_resting		LM22
TREM2	Dendritic_cells_resting		LM22
ATM	Effector memeory CD4 T cell	Adaptive	Charoentong
CASP3	Effector memeory CD4 T cell	Adaptive	Charoentong
CASQ1	Effector memeory CD4 T cell	Adaptive	Charoentong
CD300E	Effector memeory CD4 T cell	Adaptive	Charoentong
DARS	Effector memeory CD4 T cell	Adaptive	Charoentong
DOCK9	Effector memeory CD4 T cell	Adaptive	Charoentong
EXOSC9	Effector memeory CD4 T cell	Adaptive	Charoentong
EZH2	Effector memeory CD4 T cell	Adaptive	Charoentong
GDE1	Effector memeory CD4 T cell	Adaptive	Charoentong
IL34	Effector memeory CD4 T cell	Adaptive	Charoentong
NCOA4	Effector memeory CD4 T cell	Adaptive	Charoentong
NEFL	Effector memeory CD4 T cell	Adaptive	Charoentong
PDGFRL	Effector memeory CD4 T cell	Adaptive	Charoentong
PTGS1	Effector memeory CD4 T cell	Adaptive	Charoentong
REPS1	Effector memeory CD4 T cell	Adaptive	Charoentong
SCG2	Effector memeory CD4 T cell	Adaptive	Charoentong
SDPR	Effector memeory CD4 T cell	Adaptive	Charoentong
SIGLEC14	Effector memeory CD4 T cell	Adaptive	Charoentong
SIGLEC6	Effector memeory CD4 T cell	Adaptive	Charoentong
TAL1	Effector memeory CD4 T cell	Adaptive	Charoentong
TFEC	Effector memeory CD4 T cell	Adaptive	Charoentong
TIPIN	Effector memeory CD4 T cell	Adaptive	Charoentong
TPK1	Effector memeory CD4 T cell	Adaptive	Charoentong
UQCRB	Effector memeory CD4 T cell	Adaptive	Charoentong
USP9Y	Effector memeory CD4 T cell	Adaptive	Charoentong
WIPF1	Effector memeory CD4 T cell	Adaptive	Charoentong
ZCRB1	Effector memeory CD4 T cell	Adaptive	Charoentong
ACAP1	Effector memeory CD8 T cell	Adaptive	Charoentong
APOL3	Effector memeory CD8 T cell	Adaptive	Charoentong
ARHGAP10	Effector memeory CD8 T cell	Adaptive	Charoentong
ATP10D	Effector memeory CD8 T cell	Adaptive	Charoentong
C3AR1	Effector memeory CD8 T cell	Adaptive	Charoentong
CCR5	Effector memeory CD8 T cell	Adaptive	Charoentong
CD160	Effector memeory CD8 T cell	Adaptive	Charoentong
CD55	Effector memeory CD8 T cell	Adaptive	Charoentong
CFLAR	Effector memeory CD8 T cell	Adaptive	Charoentong
CMKLR1	Effector memeory CD8 T cell	Adaptive	Charoentong
DAPP1	Effector memeory CD8 T cell	Adaptive	Charoentong
FCRL6	Effector memeory CD8 T cell	Adaptive	Charoentong
FLT3LG	Effector memeory CD8 T cell	Adaptive	Charoentong
GZMM	Effector memeory CD8 T cell	Adaptive	Charoentong
HAPLN3	Effector memeory CD8 T cell	Adaptive	Charoentong
HLA-DMB	Effector memeory CD8 T cell	Adaptive	Charoentong
HLA-DPA1	Effector memeory CD8 T cell	Adaptive	Charoentong
HLA-DPB1	Effector memeory CD8 T cell	Adaptive	Charoentong
IFI16	Effector memeory CD8 T cell	Adaptive	Charoentong
LIME1	Effector memeory CD8 T cell	Adaptive	Charoentong
LTK	Effector memeory CD8 T cell	Adaptive	Charoentong
NFKBIA	Effector memeory CD8 T cell	Adaptive	Charoentong
SETD7	Effector memeory CD8 T cell	Adaptive	Charoentong
SIK1	Effector memeory CD8 T cell	Adaptive	Charoentong
TRIB2	Effector memeory CD8 T cell	Adaptive	Charoentong
GIPR	Eosinophil	Innate	Charoentong
KRT18P50	Eosinophil	Innate	Charoentong
LRMP	Eosinophil	Innate	Charoentong
FOSB	Eosinophil	Innate	Charoentong
RRP12	Eosinophil	Innate	Charoentong
GPR183	Eosinophil	Innate	Charoentong
NR4A3	Eosinophil	Innate	Charoentong
ST3GAL6	Eosinophil	Innate	Charoentong
DEPDC5	Eosinophil	Innate	Charoentong
PDE6C	Eosinophil	Innate	Charoentong
PKD2L2	Eosinophil	Innate	Charoentong
GPR65	Eosinophil	Innate	Charoentong
IL5RA	Eosinophil	Innate	Charoentong
P2RY14	Eosinophil	Innate	Charoentong
DACH1	Eosinophil	Innate	Charoentong
DAPK2	Eosinophil	Innate	Charoentong
EMR3	Eosinophil	Innate	Charoentong
ALOX15	Eosinophils		LM22
BANK1	Eosinophils		LM22
BCL2A1	Eosinophils		LM22
BPI	Eosinophils		LM22
C3AR1	Eosinophils		LM22
C5AR2	Eosinophils		LM22
CD244	Eosinophils		LM22
CLC	Eosinophils		LM22
DACH1	Eosinophils		LM22
DAPK2	Eosinophils		LM22
DEPDC5	Eosinophils		LM22
DPEP2	Eosinophils		LM22
EMR1	Eosinophils		LM22
EMR2	Eosinophils		LM22
EMR3	Eosinophils		LM22
EPN2	Eosinophils		LM22
FFAR2	Eosinophils		LM22
GIPR	Eosinophils		LM22
GPR183	Eosinophils		LM22
GPR65	Eosinophils		LM22
GPR97	Eosinophils		LM22
IL18R1	Eosinophils		LM22
IL18RAP	Eosinophils		LM22
IL1RL1	Eosinophils		LM22
IL5RA	Eosinophils		LM22
LRMP	Eosinophils		LM22
MAK	Eosinophils		LM22
MGAM	Eosinophils		LM22
MS4A3	Eosinophils		LM22
MXD1	Eosinophils		LM22
NCF2	Eosinophils		LM22
P2RY10	Eosinophils		LM22
P2RY13	Eosinophils		LM22
P2RY14	Eosinophils		LM22
P2RY2	Eosinophils		LM22
PADI4	Eosinophils		LM22
PDE6C	Eosinophils		LM22
PKD2L2	Eosinophils		LM22
PLEKHG3	Eosinophils		LM22
REPS2	Eosinophils		LM22
RGS1	Eosinophils		LM22
RGS13	Eosinophils		LM22
RNASE2	Eosinophils		LM22
RRP12	Eosinophils		LM22
SAMSN1	Eosinophils		LM22
SMPD3	Eosinophils		LM22
SMPDL3B	Eosinophils		LM22
ST3GAL6	Eosinophils		LM22
TREML2	Eosinophils		LM22
TRPM6	Eosinophils		LM22
ZNF222	Eosinophils		LM22
ACP5	Gamma delta T cell	Adaptive	Charoentong
AQP9	Gamma delta T cell	Adaptive	Charoentong
BTN3A2	Gamma delta T cell	Adaptive	Charoentong
C1orf54	Gamma delta T cell	Adaptive	Charoentong
CARD8	Gamma delta T cell	Adaptive	Charoentong
CCL18	Gamma delta T cell	Adaptive	Charoentong
CD209	Gamma delta T cell	Adaptive	Charoentong
CD33	Gamma delta T cell	Adaptive	Charoentong
CD36	Gamma delta T cell	Adaptive	Charoentong
CDK5	Gamma delta T cell	Adaptive	Charoentong
IL10RB	Gamma delta T cell	Adaptive	Charoentong
KLRF1	Gamma delta T cell	Adaptive	Charoentong
LGALS1	Gamma delta T cell	Adaptive	Charoentong
MAPK7	Gamma delta T cell	Adaptive	Charoentong
KLHL7	Gamma delta T cell	Adaptive	Charoentong
KRT80	Gamma delta T cell	Adaptive	Charoentong
LAMC1	Gamma delta T cell	Adaptive	Charoentong
LCORL	Gamma delta T cell	Adaptive	Charoentong
LMNB1	Gamma delta T cell	Adaptive	Charoentong
MEIS3P1	Gamma delta T cell	Adaptive	Charoentong
MPL	Gamma delta T cell	Adaptive	Charoentong
FABP1	Gamma delta T cell	Adaptive	Charoentong
FABP5	Gamma delta T cell	Adaptive	Charoentong
FADD	Gamma delta T cell	Adaptive	Charoentong
MFAP3L	Gamma delta T cell	Adaptive	Charoentong
MINPP1	Gamma delta T cell	Adaptive	Charoentong
RPS24	Gamma delta T cell	Adaptive	Charoentong
RPS7	Gamma delta T cell	Adaptive	Charoentong
RPS9	Gamma delta T cell	Adaptive	Charoentong
DBNL	Gamma delta T cell	Adaptive	Charoentong
CCL13	Gamma delta T cell	Adaptive	Charoentong
CD22	Immature  B cell	Adaptive	Charoentong
CYBB	Immature  B cell	Adaptive	Charoentong
